participant_id,session_id,wave,start_time,ra_id,ic,no_1,no_2,no_3,no_4,mi_1,mi_2,mi_3,mi_4,esoc_1,esoc_2,esoc_3,esoc_4,esoc_5,esoc_6,esoc_7,esoc_8,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,iclo_1,iclo_2,iclo_3,iclo_4,iclo_5,iclo_6,istate_1,istate_2,istate_3,istate_4,istate_5,istate_6,rwa_1,rwa_2,rwa_3,rwa_4,rwa_5,rwa_6,rwa_7,rwa_8,rwa_9,rwa_10,rwa_11,rwa_12,rwa_13,rwa_14,rwa_15,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,sdo_11,sdo_12,sdo_13,sdo_14,sdo_15,sdo_16,rz_1,rz_2,rz_3,rz_4,rz_5,rz_6,rz_7,rz_8,rz_9,rz_10,rz_11,rz_12,rz_13,rz_14,rz_15,rz_16,self_health,relative_health,self_rated_health,hp_1,hp_2,hp_3,bpjs_mandatory,bpjs_membership,bjps_service_class,bpjs_utility,healthcare_satisfaction,bpjs_deficit,bpjs_raise,hcw,hcw_healthcare_quality,future_use_bpjs,bpjs_benefits_1,bpjs_benefits_2,bpjs_benefits_3,bpjs_benefits_4,bpjs_benefits_5,at_jokowi,at_prabowo,hot_means,cold_means,which_candidates_intention,pol_behaviour,pol_interest,pol_info_1,pol_info_2,pol_info_3,pol_info_4,pol_info_5,pol_info_6,pol_info_7,attitude_2_politics,attitude_2_politicians,gender,age,household_income,edlevel,group_status,religion,occupation,ethnic_groups,city,dt_1,dt_2,dt_3,dt_4,dt_5,dt_6,dt_7,dt_8,dt_9,dt_10,dt_11,dt_12,dt_13,dt_14,dt_15,dt_16,dt_17,dt_18,dt_19,dt_20,dt_21,dt_22,dt_23,dt_24,dt_25,dt_26,dt_27,lt_1,lt_2,lt_3,lt_4,lt_5,lt_6,lt_7,lt_8,lt_9,lt_10,lt_11,lt_12,end_time,finished,q_viewer,lastpage,maxpage,missing,missrel,time_rsi,deg_time,wave_2_participation,,,,,,,,,,,,,,,,
1048,549,1,12/15/2018 10:26,Gita,TRUE,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,6,5,5,5,6,5,5,5,5,5,6,4,5,5,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,3,3,3,3,3,3,3,3,Tidak,Tidak,76,4,4,3,51,Ya,Tidak tahu,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Ya, saya seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,52,52,50,60,6,Belum menentukan sikap,50,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,3,3,1,19,0,2,52,1,6,Betawi,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/15/2018 11:04,TRUE,FALSE,19,19,0,0,2.5,154,FALSE,,,,,,,,,,,,,,,,
344,171,1,10/31/2018 3:18,rozaan,TRUE,5,2,7,7,1,4,7,7,7,7,1,1,6,1,1,1,7,4,7,1,1,4,4,7,7,1,1,1,7,7,7,1,1,1,9,1,1,1,9,9,9,1,9,1,9,9,9,1,9,7,7,7,7,1,7,1,7,7,1,7,7,7,7,1,7,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,Ya,Ya,96,5,5,5,4,Ya,Tidak tahu,Pernah,101,"Ya, pernah mendengar",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,101,101,44,50,6,"Memutuskan untuk golput, tidak memilih siapapun",101,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,5,5,2,21,0,2,101,1,6,Jawa,Semarang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/31/2018 3:35,TRUE,FALSE,19,19,0,0,1.34,19,TRUE,,,,,,,,,,,,,,,,
344,172,2,3/19/2019 5:33,nina,TRUE,7,4,7,1,6,6,2,1,7,7,7,7,2,1,1,1,7,4,7,1,1,1,1,7,7,1,1,1,7,7,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Tidak tahu,Pernah,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,11,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,0,2,101,1,6,Jawa,Semarang,5,5,1,3,3,1,1,1,1,5,1,1,5,5,5,5,3,1,1,1,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3/19/2019 5:42,TRUE,FALSE,12,12,0,0,1.39,21,TRUE,,,,,,,,,,,,,,,,
1255,677,1,12/21/2018 16:29,Wiwid,TRUE,4,4,4,4,2,3,5,5,3,3,4,4,5,5,4,6,4,1,4,4,2,2,6,1,1,2,2,6,6,4,1,2,4,3,7,6,6,4,7,5,7,3,5,8,7,6,6,3,7,5,5,3,3,5,5,3,3,2,3,5,4,5,5,4,4,5,5,5,4,4,2,4,5,5,2,4,4,4,5,4,5,Ya,Ya,71,4,3,3,71,Ya,Kelas 3,Tidak pernah,NA,"Ya, pernah mendengar",Saya akan tetap menjadi peserta dan tetap rutin membayar iuran,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,61,60,25,75,6,Belum menentukan sikap,91,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,4,2,2,21,0,4,78,1,1,Jawa,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/21/2018 17:02,TRUE,FALSE,18,18,0,0,1.09,26,FALSE,,,,,,,,,,,,,,,,
908,489,1,11/29/2018 15:21,WL,TRUE,1,1,7,2,1,1,3,7,6,1,1,1,4,4,4,7,1,1,1,7,6,7,1,1,1,4,2,7,1,1,1,7,1,4,1,1,8,1,1,1,1,1,2,2,1,1,2,2,1,7,1,1,6,6,6,1,1,3,6,1,7,4,4,4,4,4,4,4,2,1,1,5,4,2,1,1,1,3,4,3,2,Tidak,Tidak,81,1,1,1,51,Ya,Tidak tahu,Tidak pernah,NA,"Tidak, tidak pernah mendengar sama sekali",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,1,101,20,101,1,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,72,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,2,2,2,22,0,4,13,2,2,Tionghoa (Cina Indonesia),Tangerang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/29/2018 15:54,TRUE,FALSE,19,19,0,0,1.23,19,TRUE,,,,,,,,,,,,,,,,
908,490,2,3/22/2019 14:33,Dyah,TRUE,1,1,7,4,1,1,6,7,7,1,1,1,1,7,7,7,1,1,1,7,7,7,1,1,1,7,7,7,1,1,1,7,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tidak tahu,NA,Tidak pernah,NA,NA,NA,NA,NA,3,5,5,5,5,5,NA,NA,NA,NA,4,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,0,4,13,2,2,Tionghoa (Cina Indonesia),Tangerang,1,2,1,4,4,1,4,2,4,4,1,3,4,4,1,2,1,2,1,2,1,1,1,1,2,1,1,5,1,4,3,4,5,2,4,5,5,5,4,3/22/2019 14:44,TRUE,FALSE,12,12,0,0,1.75,64,TRUE,,,,,,,,,,,,,,,,
261,101,1,10/29/2018 7:29,Retno,TRUE,3,2,5,3,3,6,5,1,3,7,5,6,5,2,2,2,5,7,7,3,2,1,3,6,7,4,4,2,7,5,6,1,3,1,7,3,9,4,7,4,6,2,8,6,7,4,8,5,7,6,2,3,2,1,3,3,3,3,5,4,4,2,3,3,3,5,4,5,5,4,1,5,5,4,2,4,5,5,4,5,4,Ya,Tidak,35,4,3,3,85,Ya,Kelas 2,Pernah,87,"Ya, pernah mendengar",NA,"Tidak, saya bukan seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,65,40,30,74,11,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,97,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2,2,2,23,0,3,71,1,6,Jawa,Surabaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/29/2018 14:59,TRUE,FALSE,19,19,0,0,1.03,10,TRUE,,,,,,,,,,,,,,,,
261,102,2,3/20/2019 12:33,Nina,TRUE,4,3,5,2,2,6,5,3,4,7,5,5,4,3,3,3,5,5,5,5,3,2,2,6,7,3,2,1,6,6,6,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Kelas 2,Pernah,NA,NA,NA,NA,NA,8,4,3,3,3,3,NA,NA,NA,NA,11,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,0,3,71,1,6,Jawa,Surabaya,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,3,4,4,4,4,3,3,3,3,5,4,3,3,3,5,4,3,3,4,4,4,4,4,4,3/20/2019 12:46,TRUE,FALSE,12,12,0,0,1.17,15,TRUE,,,,,,,,,,,,,,,,
178,20,1,10/27/2018 16:16,Wiwid,TRUE,2,2,5,3,2,2,5,6,6,2,4,2,3,6,5,6,1,2,2,7,6,7,1,1,1,7,6,6,3,2,4,5,5,4,8,1,8,1,5,3,8,1,8,1,5,1,5,2,7,1,2,2,2,6,2,3,1,1,6,1,1,1,1,1,1,5,5,4,4,1,1,4,2,3,3,1,1,5,3,3,3,Tidak,Ya,64,4,4,3,70,Ya,Kelas 1,Tidak pernah,NA,"Ya, pernah mendengar",NA,"Ya, saya seorang tenaga kesehatan",NA,NA,NA,NA,NA,NA,NA,9,101,NA,101,2,Menggunakan hak pilih saya untuk memilih salah satu pasangan calon,101,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,3,2,1,32,0,5,51,1,2,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Bekasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/27/2018 16:48,TRUE,FALSE,19,19,1,1,0.91,10,TRUE,,,,,,,,,,,,,,,,
178,21,2,3/19/2019 5:09,Nina,TRUE,3,2,6,5,4,4,4,5,5,2,2,2,2,6,6,5,2,4,2,6,5,6,2,2,2,4,6,5,4,2,2,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ya,Kelas 1,Tidak pernah,NA,NA,NA,NA,NA,6,4,4,3,3,4,NA,NA,NA,NA,5,Belum menentukan sikap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,0,5,51,1,2,Saya bagian dari 2 atau lebih kelompok etnis yang berbeda,Bekasi,4,4,3,3,3,3,3,3,3,3,4,2,4,3,4,2,4,3,3,3,2,3,4,4,4,3,2,4,3,4,2,4,4,4,4,4,2,4,3,3/19/2019 5:24,TRUE,FALSE,12,12,0,0,0.95,7,TRUE,,,,,,,,,,,,,,,,
